07/24 21:23:54.635 Normal:  Status: 1.99 GB downloaded (1.113% complete) current rate:  7.66 MB/s
07/24 21:23:59.660 Normal:  Status: 2.01 GB downloaded (1.125% complete) current rate:  5.70 MB/s
07/24 21:24:04.719 Normal:  Status: 2.05 GB downloaded (1.144% complete) current rate:  3.97 MB/s
07/24 21:24:09.716 Normal:  Status: 2.07 GB downloaded (1.158% complete) current rate:  2.60 MB/s
07/24 21:24:14.760 Normal:  Status: 2.13 GB downloaded (1.190% complete) current rate:  2.05 MB/s
07/24 21:24:19.773 Normal:  Status: 2.18 GB downloaded (1.216% complete) current rate:  6.23 MB/s
07/24 21:24:24.808 Normal:  Status: 2.21 GB downloaded (1.237% complete) current rate:  7.87 MB/s
07/24 21:24:29.845 Normal:  Status: 2.23 GB downloaded (1.245% complete) current rate:  2.68 MB/s
07/24 21:24:34.893 Normal:  Status: 2.27 GB downloaded (1.269% complete) current rate:  2.39 MB/s
07/24 21:24:39.935 Normal:  Status: 2.29 GB downloaded (1.277% complete) current rate:  4.02 MB/s
07/24 21:24:44.989 Normal:  Status: 2.30 GB downloaded (1.288% complete) current rate:  4.91 MB/s
07/24 21:24:49.986 Normal:  Status: 2.34 GB downloaded (1.310% complete) current rate:  7.70 MB/s
07/24 21:24:55.044 Normal:  Status: 2.39 GB downloaded (1.336% complete) current rate:  7.19 MB/s
07/24 21:25:00.081 Normal:  Status: 2.41 GB downloaded (1.347% complete) current rate:  11.8 MB/s
07/24 21:25:05.135 Normal:  Status: 2.50 GB downloaded (1.399% complete) current rate:  14.2 MB/s
07/24 21:25:10.179 Normal:  Status: 2.50 GB downloaded (1.399% complete) current rate:  11.0 MB/s
07/24 21:25:15.205 Normal:  Status: 2.54 GB downloaded (1.419% complete) current rate:  9.93 MB/s
07/24 21:25:20.239 Normal:  Status: 2.56 GB downloaded (1.432% complete) current rate:  3.26 MB/s
07/24 21:25:25.323 Normal:  Status: 2.58 GB downloaded (1.441% complete) current rate:  2.70 MB/s
07/24 21:25:30.323 Normal:  Status: 2.61 GB downloaded (1.458% complete) current rate:  5.33 MB/s
07/24 21:25:35.330 Normal:  Status: 2.63 GB downloaded (1.471% complete) current rate:  4.25 MB/s
07/24 21:25:40.327 Normal:  Status: 2.63 GB downloaded (1.471% complete) current rate:  5.97 MB/s
07/24 21:25:45.338 Normal:  Status: 2.69 GB downloaded (1.504% complete) current rate:  3.79 MB/s
07/24 21:25:50.341 Normal:  Status: 2.71 GB downloaded (1.513% complete) current rate:  2.50 MB/s
07/24 21:25:55.365 Normal:  Status: 2.75 GB downloaded (1.537% complete) current rate:  3.58 MB/s
